Cafe_3
Brunch
SPECIALTY SALADS
Carrot Raisin Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
HOT GRAINS
Rolled Oatmeal
Steamed Rice
Brown Rice
SOUPS
Minestrone Soup
ENTREES
Scrambled Eggs
Bacon
Soyrizo Scramble
Potato Wedges
Pancakes
Breakfast Veggie Patty
Waffles
PASTAS
Pasta
Whole Wheat Pasta
Breadsticks
Creamy Alfredo Sauce
Herbed Marinara Sauce
CARVING STATION
Rosemary Roasted Beef
Roasted Pork Loin
Vegan Celebration Roast
Buttery Mashed Potatoes
Vegan Mushroom Gravy
Sauteed Green Beans
Cafe_3
Dinner
SOUPS
Chicken Noodle Soup
Minestrone Soup
SPECIALTY SALADS
Carrot Raisin Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
ENTREES
Cod Veracruz
Vegan Tofu Picante Fajitas
Spanish Rice (Brown)
Vegetable Medley
FUSION
Steamed Rice
Brown Rice
PASTAS
Pasta
Whole Wheat Pasta
Breadsticks
Creamy Alfredo Sauce
Herbed Marinara Sauce
GRILLED
Oski Burger
Vegetable Lavash Wrap with Cucumber and Feta
French Fries
PIZZAS
Pepperoni Pizza
Red Pepper and Kale Pizza
Flatbread or Gluten Free Pizza Per Request
DESSERTS
Flourless Chocolate Torte
Carrot Cake
Oatmeal Raisin Cookies
Clark_Kerr_Campus
Brunch
SPECIALTY SALADS
Oregano Broccoli & Tomato Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
HOT GRAINS
Rolled Oatmeal
Steamed Rice
Brown Rice
SOUPS
Chicken Noodle Soup
ENTREES
Scrambled Eggs
Bacon
Soyrizo Scramble
Mexican Home Fries
Pancakes
Breakfast Veggie Patty
Waffles
PASTAS
Pasta
Whole Wheat Pasta
Breadsticks
Creamy Alfredo Sauce
Herbed Marinara Sauce
CARVING STATION
Chipotle Crusted Turkey
Citrus Glazed Pork Loin
Vegan Celebration Roast
Buttery Mashed Potatoes
Vegan Mushroom Gravy
Sauteed Green Beans
Clark_Kerr_Campus
Dinner
SOUPS
Chicken Noodle Soup
Minestrone Soup
SPECIALTY SALADS
Oregano Broccoli & Tomato Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
ENTREES
Beef Stew
Chickenless Piccata
Egg Noodles
Vegetable Medley
FUSION
Steamed Rice
Brown Rice
PASTAS
Pasta
Whole Wheat Pasta
Breadsticks
Creamy Alfredo Sauce
Herbed Marinara Sauce
GRILLED
BBQ Pulled Pork & Pineapple Sandwich
"BBQ Gardein ""Chicken"" Strip Sandwich"
Sweet Potato Fries
PIZZAS
Sausage Pizza
Cheese Pizza
Flatbread or Gluten Free Pizza Per Request
DESSERTS
Flourless Chocolate Torte
Carrot Cake
Oatmeal Raisin Cookies
Crossroads
Brunch
MUFFIN
Banana Muffin
SCONE
Toffee Caramel Scone
DANISH
Assorted Danish
SPECIALTY SALADS
Oregano Broccoli & Tomato Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
HOT GRAINS
Rolled Oatmeal
Steamed Rice
Brown Rice
SOUPS
Minestrone Soup
ENTREES
Scrambled Eggs
Bacon
Soyrizo Scramble
Cajun Potatoes
Pancakes
Breakfast Veggie Patty
Waffles
PASTAS
Pasta
Whole Wheat Pasta
Breadsticks
Creamy Alfredo Sauce
Herbed Marinara Sauce
CARVING STATION
Oven Roasted Turkey Breast
Roasted Pork Loin
Vegan Celebration Roast
Roasted Red Potatoes
Vegan Mushroom Gravy
Vegetable Riviera Blend
Crossroads
Dinner
SOUPS
Chicken Noodle Soup
Minestrone Soup
SPECIALTY SALADS
Oregano Broccoli & Tomato Salad
DELI AND SALAD BAR
Salad Bar
Deli Bar
FIT
Brown Basmati Rice
Organic Split Pea Kale Soup
Vegetable Medley
ENTREES
Herb Roasted Chicken
Vegetable Jambalaya
Steak Fries
